Currency,Volume(24h),Last_price,Change_(24h),High_(24h),Low_(24h)
BTC/USD,15 294 842.13 USD,10 548.99866 USD,0.81%,10 679 USD,10 444.4 USD
ETH/USD,249 692.44 USD,373.94637 USD,0.98%,382.53307 USD,368 USD
BCH/USD,132 052.63 USD,227.32581 USD,0.48%,229.50459 USD,224.25049 USD
LTC/USD,80 441.97 USD,49.34714 USD,1.02%,50 USD,48.51035 USD
XEM/USD,49 614.75 USD,0.12918 USD,,0.13487 USD,0.12557 USD
DOGE/USD,41 313.53 USD,0.00280 USD,,0.00293 USD,0.0026 USD
LSK/USD,16 355.60 USD,1.48952 USD,5.6%,1.49686 USD,1.4105 USD
DASH/USD,11 677.62 USD,77.80088 USD,1.76%,78.41298 USD,76.45771 USD
PZM/USD,6 887.96 USD,0.00244 USD,,0.00375 USD,0.0015 USD
NEO/USD,1 657.75 USD,20.33117 USD,3.41%,20.4665 USD,18.9394 USD
BVK/USD,2 501.56 USD,0.01678 USD,42.08%,0.01697 USD,0.00399 USD
USDT/USD,1 227.65 USD,1.00395 USD,,1.02699 USD,1.00211 USD
USD/RUR,1 237.18 USD,77.19289 RUR,,77.6 RUR,76.03501 RUR
XRP/USD,756.33 USD,0.24821 USD,0.29%,0.24838 USD,0.24596 USD
EMC/USD,622.77 USD,0.04345 USD,13.39%,0.0453 USD,0.03661 USD
YOC/USD,447.53 USD,0.00026 USD,,0.0003 USD,0.00026 USD
TRX/USD,477.33 USD,0.03260 USD,,0.0347 USD,0.0326 USD
ZRX/USD,490.66 USD,0.52257 USD,2.66%,0.53244 USD,0.50901 USD
EUR/USD,400.09 USD,1.16638 USD,0.11%,1.17593 USD,1.16048 USD
VRS/USD,334.37 USD,0.03722 USD,,0.03923 USD,0.03606 USD
ZEC/USD,330.34 USD,64.43909 USD,5.4%,64.8208 USD,61.13771 USD
MDC/USD,312.14 USD,0.00063 USD,,0.00067 USD,0.00057 USD
HB/USD,268.29 USD,0.00132 USD,,0.00138 USD,0.00125 USD
QTUM/USD,247.62 USD,2.60606 USD,1.84%,2.60606 USD,2.5589 USD
BAT/USD,248.45 USD,0.26120 USD,0.35%,0.2612 USD,0.2564 USD
CPC/USD,243.50 USD,0.01486 USD,,0.01518 USD,0.01459 USD
PLBT/USD,173.20 USD,1.50000 USD,5.8%,1.5 USD,1.40439 USD
VMR/USD,69.66 USD,0.15020 USD,,0.1704 USD,0.1502 USD
OMG/USD,54.98 USD,3.94479 USD,4.93%,3.94479 USD,3.7595 USD
DGB/USD,30.22 USD,0.02230 USD,0.9%,0.0223 USD,0.0221 USD
MNC/USD,12.71 USD,0.00487 USD,,0.005 USD,0.0048 USD
EOS/USD,9.91 USD,2.85000 USD,0.06%,2.85 USD,2.847 USD
STRAT/USD,9.67 USD,0.50000 USD,,0.5 USD,0.5 USD
PRO/USD,10.21 USD,0.16574 USD,0.01%,0.16574 USD,0.16573 USD
PAI/USD,7.23 USD,0.01200 USD,,0.01201 USD,0.012 USD
ADL/USD,2.77 USD,0.00400 USD,,0.004 USD,0.004 USD
MCO/USD,3.01 USD,3.14862 USD,,3.14862 USD,3.14862 USD
PHI/USD,1.34 USD,0.04800 USD,,0.048 USD,0.048 USD
TKN/USD,1.11 USD,0.54407 USD,,0.54407 USD,0.54407 USD
HST/USD,0.00 USD,0.00015 USD,,0 USD,0 USD
XRC/USD,0.00 USD,0.00105 USD,,0 USD,0 USD
BTG/USD,1.09 USD,12.50000 USD,,12.5 USD,12.5 USD
RLC/USD,0.00 USD,1.11000 USD,,0 USD,0 USD
OBITS/USD,0.00 USD,0.00850 USD,,0 USD,0 USD
ANT/USD,0.00 USD,4.00586 USD,,0 USD,0 USD
SHIFT/USD,0.00 USD,0.42189 USD,,0 USD,0 USD
DIME/USD,0.00 USD,0.00001 USD,,0 USD,0 USD
TUBE/USD,0.00 USD,0.00900 USD,,0 USD,0 USD
TUSD/USD,0.00 USD,1.00000 USD,,0 USD,0 USD
TIME/USD,0.00 USD,1.77700 USD,,0 USD,0 USD
ARC/USD,0.00 USD,0.00160 USD,,0 USD,0 USD
KNC/USD,0.00 USD,1.15002 USD,,0 USD,0 USD
LKE/USD,0.00 USD,0.00002 USD,,0 USD,0 USD
onLEXpa/USD,0.00 USD,0.00008 USD,,0 USD,0 USD
GNO/USD,0.00 USD,40.00010 USD,,0 USD,0 USD
HNR/USD,0.00 USD,0.00001 USD,,0 USD,0 USD
BID/USD,0.00 USD,5.00000 USD,,0 USD,0 USD
DIG/USD,0.00 USD,0.00001 USD,,0 USD,0 USD
SNT/USD,0.00 USD,0.03142 USD,,0 USD,0 USD
SNB/USD,0.00 USD,0.09201 USD,,0 USD,0 USD
PUT/USD,0.00 USD,0.00007 USD,,0 USD,0 USD
PAX/USD,0.00 USD,0.99001 USD,,0 USD,0 USD
EDG/USD,0.00 USD,0.00872 USD,,0 USD,0 USD
CBR/USD,0.00 USD,0.00005 USD,,0 USD,0 USD
CLPC/USD,0.00 USD,0.00006 USD,,0 USD,0 USD
NVC/USD,0.00 USD,0.19000 USD,,0.19 USD,0.19 USD
VOISE/USD,0.00 USD,0.00004 USD,,0 USD,0 USD
TRST/USD,0.00 USD,0.00998 USD,,0 USD,0 USD
CRC/USD,0.00 USD,0.08583 USD,,0 USD,0 USD
DYN/USD,0.00 USD,0.18127 USD,,0 USD,0 USD
ETHOS/USD,0.00 USD,0.11147 USD,,0 USD,0 USD
PPT/USD,0.00 USD,0.35999 USD,,0 USD,0 USD
ABBC/USD,0.00 USD,0.00677 USD,,0 USD,0 USD
ITCM/USD,0.00 USD,0.00809 USD,,0 USD,0 USD
OTON/USD,0.00 USD,0.02320 USD,,0 USD,0 USD
DIBC/USD,0.00 USD,0.00000 USD,,0 USD,0 USD
ARK/USD,0.00 USD,0.43000 USD,,0 USD,0 USD
