Currency,Volume(24h),Last_price,Change_(24h),High_(24h),Low_(24h)
BTC/USD,1 449.89 BTC,10 548.99866 USD,0.81%,10 679 USD,10 444.4 USD
ETH/BTC,483.99 BTC,0.03552729 BTC,,0.036 BTC,0.03521801 BTC
XSN/BTC,167.11 BTC,0.00002434 BTC,1.54%,0.000027 BTC,0.00002322 BTC
DASH/BTC,101.26 BTC,0.00738980 BTC,0.13%,0.00745969 BTC,0.0073159 BTC
BTC/USDT,68.30 BTC,10 392.83900000 USDT,0.33%,10 656 USDT,10 286 USDT
LTC/BTC,58.77 BTC,0.00468100 BTC,0.24%,0.00475816 BTC,0.00464349 BTC
BTC/RUR,32.14 BTC,813 989.90883 RUR,0.04%,814 998.99986 RUR,793 001.37015 RUR
XRP/BTC,28.66 BTC,0.00002330 BTC,,0.00002369 BTC,0.00002312 BTC
BCH/BTC,27.94 BTC,0.02135177 BTC,,0.02193444 BTC,0.02135176 BTC
BTS/BTC,26.28 BTC,0.00000335 BTC,,0.00000424 BTC,0.00000315 BTC
ROOBEE/BTC,14.06 BTC,0.00000032 BTC,,0.00000034 BTC,0.00000032 BTC
BTC/EUR,13.41 BTC,8 997.08000 EUR,0.49%,9 047.20281 EUR,8 951.28948 EUR
WAVES/BTC,11.60 BTC,0.00024850 BTC,6.58%,0.00025034 BTC,0.0002304 BTC
DGB/BTC,9.95 BTC,0.00000217 BTC,1.88%,0.0000022 BTC,0.00000176 BTC
LSK/BTC,8.54 BTC,0.00014065 BTC,2.88%,0.00014278 BTC,0.00013548 BTC
CHSB/BTC,8.26 BTC,0.00000866 BTC,,0.00000896 BTC,0.00000833 BTC
BAT/BTC,7.50 BTC,0.00002492 BTC,,0.0000267 BTC,0.00002429 BTC
MLGC/BTC,7.18 BTC,0.00002032 BTC,,0.00002034 BTC,0.00002025 BTC
PZM/BTC,6.75 BTC,0.00000024 BTC,,0.00000036 BTC,0.00000016 BTC
XLM/BTC,5.26 BTC,0.00000815 BTC,3.95%,0.00000818 BTC,0.00000784 BTC
EOS/BTC,4.39 BTC,0.00026762 BTC,0.53%,0.00027917 BTC,0.0002608 BTC
LEVL/BTC,3.45 BTC,0.00001396 BTC,,0.00001434 BTC,0.0000137 BTC
ZEC/BTC,3.36 BTC,0.00607013 BTC,2.9%,0.0061 BTC,0.00567666 BTC
PPY/BTC,3.29 BTC,0.00003606 BTC,,0.00003953 BTC,0.00003601 BTC
XEM/BTC,3.04 BTC,0.00001275 BTC,0.39%,0.000013 BTC,0.00001233 BTC
IPL/BTC,1.99 BTC,0.00000012 BTC,9.09%,0.00000012 BTC,0.00000011 BTC
ZRX/BTC,1.74 BTC,0.00005004 BTC,0.97%,0.00005147 BTC,0.00004817 BTC
SYS/BTC,1.24 BTC,0.00000696 BTC,4.5%,0.00000719 BTC,0.00000658 BTC
VRS/BTC,0.90 BTC,0.00000359 BTC,3.16%,0.00000379 BTC,0.00000339 BTC
PXP/BTC,0.87 BTC,0.00000103 BTC,4.04%,0.00000115 BTC,0.00000085 BTC
TIME/BTC,0.87 BTC,0.00014718 BTC,8.54%,0.00015138 BTC,0.0001351 BTC
CURE/BTC,0.67 BTC,0.00000616 BTC,0.82%,0.0000064 BTC,0.00000596 BTC
STRAT/BTC,0.58 BTC,0.00004952 BTC,1.56%,0.000052 BTC,0.00004502 BTC
RADS/BTC,0.54 BTC,0.00005138 BTC,,0.00005525 BTC,0.00005025 BTC
WNL/BTC,0.49 BTC,0.00000210 BTC,,0.00000227 BTC,0.00000186 BTC
TX/BTC,0.47 BTC,0.00000360 BTC,27.21%,0.00000639 BTC,0.00000257 BTC
EMC/BTC,0.41 BTC,0.00000408 BTC,4.62%,0.0000042 BTC,0.00000378 BTC
XFC/BTC,0.39 BTC,0.00000029 BTC,,0.0000003 BTC,0.00000028 BTC
NEO/BTC,0.38 BTC,0.00192555 BTC,8.47%,0.00195 BTC,0.00177523 BTC
PLBT/BTC,0.33 BTC,0.00013701 BTC,0.04%,0.00016123 BTC,0.00013406 BTC
CLOAK/BTC,0.32 BTC,0.00001351 BTC,,0.00001398 BTC,0.00001333 BTC
XAUR/BTC,0.29 BTC,0.00000233 BTC,,0.00000246 BTC,0.0000023 BTC
ABBC/BTC,0.27 BTC,0.00000056 BTC,,0.00000069 BTC,0.00000052 BTC
ESR/BTC,0.26 BTC,0.00000268 BTC,31.37%,0.00000396 BTC,0.00000182 BTC
CRAD/BTC,0.24 BTC,0.00000045 BTC,40.62%,0.00000047 BTC,0.00000032 BTC
HEDG/BTC,0.23 BTC,0.00009300 BTC,2.56%,0.00011816 BTC,0.00009054 BTC
BNODE/BTC,0.23 BTC,0.00003640 BTC,6.18%,0.00005 BTC,0.00002512 BTC
XBT/BTC,0.22 BTC,0.00000103 BTC,63.49%,0.00000228 BTC,0.00000061 BTC
ETC/BTC,0.20 BTC,0.00048661 BTC,,0.00050751 BTC,0.00048276 BTC
WINGS/BTC,0.18 BTC,0.00000926 BTC,17.81%,0.000011 BTC,0.00000714 BTC
NMC/BTC,0.17 BTC,0.00003587 BTC,,0.00003748 BTC,0.00003512 BTC
OD/BTC,0.16 BTC,0.00009090 BTC,1.15%,0.00009208 BTC,0.00008965 BTC
TRX/BTC,0.16 BTC,0.00000315 BTC,,0.00000332 BTC,0.00000312 BTC
BVK/BTC,0.13 BTC,0.00000039 BTC,,0.00000124 BTC,0.00000039 BTC
PPC/BTC,0.11 BTC,0.00002179 BTC,,0.00002321 BTC,0.0000215 BTC
GRS/BTC,0.11 BTC,0.00002025 BTC,4.33%,0.00002033 BTC,0.00001874 BTC
RISE/BTC,0.11 BTC,0.00000065 BTC,,0.00000076 BTC,0.00000059 BTC
BLK/BTC,0.11 BTC,0.00000412 BTC,,0.00000437 BTC,0.00000405 BTC
KTETH/BTC,0.10 BTC,0.00000691 BTC,,0.00000702 BTC,0.00000624 BTC
VRM/BTC,0.10 BTC,0.00001276 BTC,,0.00001573 BTC,0.00001139 BTC
FLOT/BTC,0.10 BTC,0.00000064 BTC,128.57%,0.00000125 BTC,0.00000028 BTC
DMD/BTC,0.09 BTC,0.00004480 BTC,1.22%,0.0000463 BTC,0.000041 BTC
RVN/BTC,0.08 BTC,0.00000167 BTC,5.03%,0.00000167 BTC,0.00000158 BTC
NVC/BTC,0.08 BTC,0.00001722 BTC,,0.00001748 BTC,0.000017 BTC
YOD/BTC,0.08 BTC,0.00000100 BTC,,0.00000119 BTC,0.00000081 BTC
DOGE/BTC,0.08 BTC,0.00000026 BTC,,0.00000028 BTC,0.00000026 BTC
MNE/BTC,0.08 BTC,0.00001115 BTC,,0.00001305 BTC,0.000011 BTC
INCNT/BTC,0.08 BTC,0.00000382 BTC,,0.00000391 BTC,0.00000377 BTC
XSPEC/BTC,0.07 BTC,0.00000929 BTC,0.65%,0.00000941 BTC,0.00000901 BTC
SFT/BTC,0.07 BTC,0.00000027 BTC,3.85%,0.00000027 BTC,0.00000026 BTC
ABT/BTC,0.07 BTC,0.00002003 BTC,62.19%,0.00002409 BTC,0.00001045 BTC
PIPL/BTC,0.07 BTC,0.00000056 BTC,30.23%,0.0000006 BTC,0.00000043 BTC
XVG/BTC,0.07 BTC,0.00000047 BTC,,0.00000047 BTC,0.00000047 BTC
VRC/BTC,0.07 BTC,0.00000363 BTC,,0.00000387 BTC,0.00000356 BTC
ETHP/BTC,0.07 BTC,0.00000253 BTC,,0.00000334 BTC,0.00000219 BTC
ASAFE2/BTC,0.07 BTC,0.00000193 BTC,7.82%,0.00000198 BTC,0.00000176 BTC
JBY/BTC,0.06 BTC,0.00000735 BTC,,0.00001338 BTC,0.00000725 BTC
TNS/BTC,0.06 BTC,0.00000006 BTC,,0.00000006 BTC,0.00000005 BTC
GAME/BTC,0.06 BTC,0.00000566 BTC,,0.00000618 BTC,0.00000565 BTC
AOA/BTC,0.05 BTC,0.00000061 BTC,,0.00000074 BTC,0.00000053 BTC
STORJ/BTC,0.05 BTC,0.00004855 BTC,,0.00005797 BTC,0.00004796 BTC
YOC/BTC,0.05 BTC,0.00000003 BTC,,0.00000003 BTC,0.00000003 BTC
PPT/BTC,0.05 BTC,0.00002577 BTC,1.74%,0.00002715 BTC,0.0000245 BTC
ECOREAL/BTC,0.05 BTC,0.00000611 BTC,0.83%,0.00000619 BTC,0.00000603 BTC
QBIT/BTC,0.05 BTC,0.00309060 BTC,,0.0054 BTC,0.00225 BTC
FirstBlood/BTC,0.04 BTC,0.00001271 BTC,23.4%,0.000015 BTC,0.00001019 BTC
DYN/BTC,0.04 BTC,0.00001298 BTC,,0.00001608 BTC,0.00001221 BTC
LINK/BTC,0.04 BTC,0.00096422 BTC,,0.00104998 BTC,0.00093121 BTC
VERI/BTC,0.04 BTC,0.00016270 BTC,,0.00028141 BTC,0.00015217 BTC
DOLLAR/BTC,0.04 BTC,0.00000867 BTC,,0.00000954 BTC,0.00000854 BTC
DGX/BTC,0.04 BTC,0.00600009 BTC,11.94%,0.00996203 BTC,0.00369999 BTC
RLC/BTC,0.04 BTC,0.00010672 BTC,7.82%,0.00011247 BTC,0.00009898 BTC
GNT/BTC,0.04 BTC,0.00001146 BTC,,0.00001177 BTC,0.00001102 BTC
SNX/BTC,0.04 BTC,0.00057999 BTC,,0.00058001 BTC,0.00056999 BTC
USC/BTC,0.04 BTC,0.00000135 BTC,,0.00000166 BTC,0.00000103 BTC
POLY/BTC,0.04 BTC,0.00000471 BTC,2.39%,0.00000512 BTC,0.00000427 BTC
ELF/BTC,0.04 BTC,0.00001409 BTC,,0.00001603 BTC,0.00001409 BTC
CPC/BTC,0.04 BTC,0.00000139 BTC,,0.00000144 BTC,0.00000132 BTC
SNGLS/BTC,0.04 BTC,0.00000080 BTC,8.11%,0.0000008 BTC,0.00000074 BTC
SIB/BTC,0.03 BTC,0.00000237 BTC,,0.00000258 BTC,0.00000236 BTC
